1911	лязг	Звук, возникающий при ударе зубов друг о друга.
1912	лярд	Топленое свиное сало.
1908	люкс	Единица освещенности.
1909	люфт	Зазор между частями машины, устройства.
1910	лязг	Звук, издаваемый металлическими предметами при ударе друг о друга.
2004	нега	Нежность, ласковость.
1913	мазь	Полужидкая или густая смесь жиров с лекарственными веществами для втирания в кожу, смазывания ее.
1914	мазь	Густое вещество для натирания, смазки.
1915	маис	Кукуруза.
1916	майя	Тонкая легкая хлопчатобумажная ткань.
1917	мала	Сельскохозяйственное орудие для выравнивания почвы (на орошаемых землях).
1918	маны	Души умерших предков, покровительствующие своему роду и почитающиеся как божества (в древнеримской мифологии).
1919	мара	Млекопитающее семейства морских свинок с густым блестящим мехом, похожее на зайца, обитающее в степях Южной Америки.
1920	марс	Одна из девяти - четвертая от Солнца - больших планет Солнечной системы.
1921	марс	Бог войны, а первоначально - бог полей и урожая (в древнеримской мифологии).
1922	марс	Площадка на мачте корабля для наблюдения за горизонтом, установки прожекторов, навигационных и других приборов, для работ по управлению парусами.
1923	март	Название третьего месяца календарного года.
1924	марш	Движение в строю, характеризующееся строгой размеренностью.
1925	марш	Походное движение войск.
1926	марш	Музыкальное произведение с четким и размеренным в соответствии с коллективным шествием ритмом.
1927	марш	Часть лестницы между двумя площадками.
1928	марь	Болотистое пространство в тайге, поросшее кустарником или отдельными деревьями.
1929	марь	Сорное растение семейства маревых.
1930	матч	Состязание в виде спорта между двумя или несколькими спортсменами или командами.
1931	мать	Женщина по отношению к ее детям.
1932	мать	Самка животного по отношению к ее детенышам.
1933	мать	Монахиня.
1934	мать	Жена духовного лица.
1935	маца	Пасхальный хлеб из пресного теста в виде очень тонких сухих лепешек (в религиозном быту у евреев).
1936	маяк	Высокая башня с сигнальными огнями на берегу моря или на острове для ориентации проходящих судов.
1937	мгла	Мрак, тьма.
1938	мгла	Непрозрачный воздух, насыщенный водяными парами; туман.
1939	мгла	Воздух, насыщенный мельчайшими частицами пыли или дыма.
1940	медь	Химический элемент, мягкий и ковкий металл красновато-желтого цвета, широко применяемый в промышленности.
1941	межа	Граница земельных участков, владений.
1942	межа	Невспаханная полоса земли между пашнями.
1943	мель	Возвышение дна в море, реке, озере, образованное обычно наносом песка, гальки и затрудняющее судоходство.
1944	мера	Единица измерения.
1945	мера	Старинная русская единица емкости для сыпучих тел, равная приблизительно одному пуду зерна.
1946	мера	То, чем измеряют мерило.
1947	мера	Величина, размер, степень охвата явления.
1948	меры	Действие или совокупность действий, средств для осуществления, достижения.
1949	меря	Древнейшее финно-угорское племя, обитавшее в Волго-Окском междуречье.
1950	метр	Определенное повторяющееся соотношение ударных и безударных слогов внутри стихотворной строки; стихотворный размер (в стихосложении).
1951	миля	Путевая мера длины, различная в разных странах.
1952	мина	Неподвижный снаряд для взрыва, помещаемый под землей или под водой.
1953	мина	Крупный разрывной снаряд для стрельбы из миномета.
1954	мина	Самодвижущийся разрывной снаряд; торпеда.
1955	мина	Денежная единица в Древней Греции, равная 0,1 таланта.
1956	мина	Мера веса на Древнем Востоке, в Древней и современной Греции.
2101	отцы	Предшествующие поколения; предки.
1957	миро	Благовонное масло, употребляемое при некоторых христианских церковных обрядах.
1958	мода	Совокупность привычек и вкусов, господствующих в определенной среде в определенное - обычно недолгое - время.
